                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.04846,                0.36541,                0.89284,                0.76939,                      1,                0.88206,                0.88168,                0.20106,                0.49014,                0.27466,             0.00047876,             0.00047876,             0.00047876
                     74,                0.04921,                0.36807,                0.89797,                0.76972,                      1,                0.84508,                0.84377,                0.17818,                0.52226,                0.25226,             0.00046226,             0.00046226,             0.00046226
                     75,                0.05113,                0.35169,                0.89815,                0.76676,                      1,                0.86845,                0.86569,                0.16866,                0.48972,                0.23351,             0.00044576,             0.00044576,             0.00044576
                     76,                0.04839,                0.36878,                0.89894,                0.76918,                      1,                0.85062,                 0.8492,                0.19142,                0.53903,                0.25845,             0.00042925,             0.00042925,             0.00042925
                     77,                0.04762,                0.34724,                0.89596,                 0.7683,                      1,                  0.885,                0.88305,                0.15637,                0.50447,                0.22144,             0.00041275,             0.00041275,             0.00041275
                     78,                0.04461,                0.34809,                0.89392,                0.76172,                      1,                0.83898,                0.83165,                0.21908,                0.54617,                0.30456,             0.00039625,             0.00039625,             0.00039625
                     79,                 0.0451,                 0.3588,                0.89701,                0.76971,                      1,                0.83831,                0.83694,                0.20169,                0.61064,                 0.2791,             0.00037974,             0.00037974,             0.00037974
                     80,                0.04426,                0.35518,                0.89443,                0.76966,                      1,                0.86868,                0.86712,                0.18376,                0.55002,                0.25938,             0.00036324,             0.00036324,             0.00036324
                     81,                0.04444,                0.35437,                0.89322,                0.78324,                0.99351,                0.80569,                0.79899,                0.16685,                0.55295,                0.23288,             0.00034674,             0.00034674,             0.00034674
                     82,                0.04165,                0.34471,                0.89561,                0.77492,                      1,                0.83655,                0.83458,                0.17453,                0.52778,                0.24468,             0.00033023,             0.00033023,             0.00033023
                     83,                0.04582,                 0.3443,                0.90214,                0.75678,                0.99351,                0.84081,                0.83517,                 0.1761,                0.58984,                0.24683,             0.00031373,             0.00031373,             0.00031373
                     84,                0.04116,                0.35327,                 0.8937,                0.76969,                      1,                0.86255,                0.86199,                0.17125,                0.51432,                0.24393,             0.00029723,             0.00029723,             0.00029723
                     85,                0.04079,                0.34023,                0.89361,                0.76968,                      1,                0.86579,                0.86493,                0.12861,                0.55694,                0.17408,             0.00028072,             0.00028072,             0.00028072
                     86,                0.03943,                0.34334,                0.89379,                0.77217,                      1,                0.82863,                0.82613,                0.15587,                 0.5355,                0.21173,             0.00026422,             0.00026422,             0.00026422
                     87,                0.04236,                0.33984,                0.89165,                0.78304,                0.99351,                 0.8437,                0.84207,                0.14824,                0.50414,                0.20849,             0.00024772,             0.00024772,             0.00024772
                     88,                0.03904,                 0.3327,                0.88823,                0.76945,                      1,                0.88466,                0.88378,                0.19536,                0.54583,                0.27399,             0.00023121,             0.00023121,             0.00023121
                     89,                0.03946,                0.34997,                0.89553,                0.76963,                      1,                0.87361,                0.87295,                0.21304,                0.51578,                0.29484,             0.00021471,             0.00021471,             0.00021471
